Message_Number,Temp_Celsius,RH_Percent 
1,27.3,45
2,27.3,46
3,27.3,46
4,27.3,45
5,27.2,45
6,27.2,45
7,27.2,45
8,27.2,45
9,27.1,45
10,27.1,45
11,27.1,45
12,27.1,45
13,27.1,45
14,27.1,45
15,27.1,45
16,27.1,45
17,27,45
18,27,45
19,27.1,45
20,27,45
21,27,45
22,27,45
23,27,45
24,27,45
25,27,45
26,27,45
27,27,45
28,27,45
29,26.9,45
30,26.9,45
31,26.9,45
32,26.9,45
33,26.9,45
34,26.9,45
35,26.9,45
36,26.9,45
37,26.9,45
38,26.9,45
39,26.9,45
40,26.9,45
41,26.9,45
42,26.9,45
43,26.9,45
44,26.9,45
45,26.9,45
46,26.9,45
47,26.9,45
48,26.9,45
49,26.9,45
50,26.9,45
51,26.9,45
52,26.9,45
53,26.8,45
54,26.9,45
55,26.9,45
56,26.9,45
57,26.9,45
58,26.9,45
59,26.9,47
60,26.9,47
61,26.9,46
62,27,45
63,27,45
64,27,45
65,27,45
66,27.1,45
67,27.1,45
68,27.1,45
69,27.1,45
70,27.1,45
71,27,45
72,27,45
73,27.1,45
74,27.1,45
75,27.1,45
76,27.1,46
77,27,45
78,27,45
79,27,46
80,27.1,45
81,27.1,45
82,27.1,45
83,27.1,45
84,27.1,45
85,27.1,45
86,27.1,45
87,27.1,45
88,27,45
89,27,45
90,27.1,45
91,27,45
92,27.1,45
93,27.1,45
94,27.1,45
95,27.1,45
96,27.1,45
97,27.1,45
98,27.1,45
99,27.1,45
100,27.1,45
101,27.1,45
102,27.1,45
103,27.1,45
104,27.1,45
105,27.1,45
106,27.1,45
107,27.1,45
108,27.1,45
109,27.1,45
110,27,45
111,27.1,45
112,27.1,45
113,27.1,45
114,27.1,45
115,27.1,45
116,27.1,45
117,27.1,45
118,27.1,45
119,27.2,45
120,27.1,45
122,27.1,45
123,27.1,45
124,27.2,45
125,27.2,45
126,27.2,45
127,27.2,45
128,27.2,45
129,27.2,44
130,27.2,44
131,27.2,44
132,27.2,44
133,27.2,44
134,27.2,44
135,27.2,44
136,27.2,44
137,27.2,44
138,27.1,45
139,27.1,45
140,27.1,45
141,27,45
142,27,45
143,27,45
144,27,45
145,26.9,45
146,26.9,45
147,26.9,45
148,26.9,45
149,26.9,45
150,26.9,45
151,26.9,45
152,26.9,45
153,26.8,45
154,26.9,45
155,26.9,45
156,26.9,45
157,27,45
158,27,45
159,27,45
160,27,45
161,27,45
162,27.1,45
163,27,45
164,27.1,45
165,27.1,45
166,27.1,45
167,27.1,45
168,27.1,45
169,27.1,45
170,27.1,45
171,27.1,45
172,27.1,45
173,27,45
174,27,45
175,27,45
176,27,45
177,26.9,45
178,26.9,45
179,26.9,45
180,26.9,45
181,26.9,45
182,26.9,46
183,26.8,46
184,26.8,45
185,26.9,46
186,26.9,45
187,26.9,45
188,26.9,45
189,26.9,45
190,26.9,45
191,26.9,45
192,26.9,45
193,26.9,45
194,26.9,45
195,27,45
196,27,45
197,27,45
198,27,45
199,26.9,45
200,26.9,45
201,26.9,46
202,26.9,45
203,26.9,45
204,26.9,45
205,26.9,45
206,26.9,45
207,26.9,45
208,26.9,45
209,27,45
210,27,45
211,27,45
212,27,45
213,27,45
214,27,45
215,27,45
216,26.9,45
217,26.9,45
218,26.9,45
219,26.9,45
220,26.9,45
221,26.9,45
222,26.8,45
223,26.8,44
224,26.7,45
225,26.7,45
226,26.7,45
227,26.8,45
228,26.8,45
229,26.8,45
230,26.8,45
231,26.8,45
232,26.8,45
233,26.8,45
234,26.8,45
235,26.8,45
236,26.8,45
237,26.8,44
238,26.8,44
239,26.8,45
240,26.8,44
241,26.7,44
242,26.8,44
243,26.8,45
246,26.9,44
247,26.9,44
248,26.9,44
249,26.8,44
250,26.8,44
251,26.8,44
252,26.8,44
253,26.8,44
254,26.8,44
255,26.7,44
256,26.6,44
257,26.6,44
258,26.5,44
259,26.5,44
260,26.4,44
261,26.4,44
262,26.4,44
263,26.4,44
264,26.3,44
265,26.3,44
266,26.3,44
267,26.4,44
268,26.4,44
269,26.3,44
270,26.3,44
271,26.3,44
272,26.4,44
273,26.4,44
274,26.3,44
275,26.3,44
276,26.4,44
277,26.4,44
278,26.4,44
279,26.5,44
280,26.6,44
281,26.6,44
282,26.6,44
283,26.7,44
284,26.7,44
285,26.7,44
286,26.7,44
287,26.7,44
288,26.6,44
289,26.6,43
290,26.6,43
291,26.5,43
292,26.5,43
293,26.5,43
294,26.5,43
295,26.4,43
296,26.4,44
297,26.4,43
298,26.4,43
299,26.4,43
300,26.3,43
301,26.3,43
302,26.4,43
303,26.4,44
304,26.5,44
305,26.5,44
306,26.6,44
307,26.6,44
308,26.6,44
309,26.6,43
310,26.6,43
311,26.5,43
314,26.5,42
315,26.5,42
316,26.5,42
317,26.5,42
318,26.5,42
319,26.5,43
320,26.6,43
321,26.6,43
322,26.6,42
323,26.6,42
324,26.5,42
325,26.5,42
326,26.5,42
327,26.4,43
328,26.3,43
329,26.3,43
330,26.3,43
331,26.4,43
332,26.4,43
333,26.3,43
334,26.3,43
335,26.3,43
336,26.3,43
337,26.4,44
338,26.4,43
339,26.4,43
340,26.5,43
341,26.5,45
342,26.6,44
343,26.5,44
344,26.6,43
345,26.6,42
346,26.6,44
347,26.7,43
348,26.7,42
349,26.7,44
350,26.7,43
351,26.7,44
352,26.8,43
353,26.7,42
354,26.7,43
355,26.8,42
356,26.8,42
357,26.8,43
358,26.8,42
359,26.8,42
360,26.8,42
361,26.8,43
362,26.7,42
363,26.8,42
364,26.8,43
365,26.8,43
366,26.8,42
367,26.8,42
368,26.8,42
369,26.9,42
370,26.9,42
371,26.9,42
372,26.8,42
373,26.8,42
374,26.8,42
375,26.7,43
376,26.7,42
377,26.7,42
378,26.6,42
379,26.6,43
380,26.6,43
381,26.6,42
382,26.6,42
383,26.6,41
384,26.5,41
385,26.5,43
386,26.4,42
387,26.4,42
388,26.4,42
389,26.4,42
390,26.5,43
391,26.5,43
392,26.4,43
393,26.4,43
394,26.5,43
395,26.5,43
396,26.5,43
397,26.6,44
398,26.5,43
399,26.5,44
400,26.4,43
401,26.5,43
402,26.4,43
403,26.4,43
404,26.5,43
405,26.5,42
406,26.5,42
407,26.5,43
408,26.5,43
409,26.6,43
410,26.6,43
411,26.6,43
412,26.7,43
413,26.7,43
414,26.7,43
415,26.7,43
416,26.7,43
417,26.8,43
418,26.8,43
419,26.8,43
420,26.8,42
421,26.8,42
422,26.8,42
423,26.8,42
424,26.8,43
425,26.8,43
426,26.8,42
427,26.8,42
428,26.8,42
429,26.8,43
430,26.8,43
431,26.8,42
432,26.9,42
433,26.9,42
434,26.9,42
435,26.9,41
436,26.9,41
437,26.9,42
438,26.9,41
439,26.9,42
440,26.9,41
441,26.9,41
442,26.9,41
443,26.9,41
444,26.9,41
445,26.9,42
446,26.9,41
447,26.9,41
448,26.9,41
449,27,41
450,27,42
